Name	X	Y	Z	ScaleX	ScaleY	ScaleZ	Quat_s	Quat_x	Quat_y	Quat_z	Type
Cube.001	0.44999998807907104	0.44999998807907104	0.0	0.10000000149011612	0.10000000149011612	1.0	1.0	0.0	0.0	0.0	Cube
Cube.002	-0.44999998807907104	0.44999998807907104	0.0	0.10000000149011612	0.10000000149011612	1.0	1.0	0.0	0.0	0.0	Cube
Cube.003	-0.44999998807907104	-0.44999998807907104	0.0	0.10000000149011612	0.10000000149011612	1.0	1.0	0.0	0.0	0.0	Cube
Cube.004	0.44999998807907104	-0.44999998807907104	0.0	0.10000000149011612	0.10000000149011612	1.0	1.0	0.0	0.0	0.0	Cube
Cube.005	0.0	0.44999998807907104	0.44999998807907104	1.0	0.10000000149011612	0.10000001639127731	1.0	0.0	0.0	0.0	Cube
Cube.006	0.0	-0.44999998807907104	0.44999998807907104	1.0	0.10000000149011612	0.10000001639127731	1.0	0.0	0.0	0.0	Cube
Cube.007	0.0	-0.44999998807907104	-0.44999998807907104	1.0	0.10000000149011612	0.10000001639127731	1.0	0.0	0.0	0.0	Cube
Cube.008	0.0	0.44999998807907104	-0.44999998807907104	1.0	0.10000000149011612	0.10000001639127731	1.0	0.0	0.0	0.0	Cube
Cube.009	0.44999998807907104	0.0	0.44999998807907104	0.10000000149011612	1.0	0.10000001639127731	1.0	0.0	0.0	0.0	Cube
Cube.010	-0.44999998807907104	0.0	0.44999998807907104	0.10000000149011612	1.0	0.10000001639127731	1.0	0.0	0.0	0.0	Cube
Cube.011	-0.44999998807907104	0.0	-0.44999998807907104	0.10000000149011612	1.0	0.10000001639127731	1.0	0.0	0.0	0.0	Cube
Cube.012	0.44999998807907104	0.0	-0.44999998807907104	0.10000000149011612	1.0	0.10000001639127731	1.0	0.0	0.0	0.0	Cube
