Name	X	Y	Z	ScaleX	ScaleY	ScaleZ	Quat_s	Quat_x	Quat_y	Quat_z	Type
Cube	1.715721607208252	-4.377396583557129	-1.1452116966247559	10.29847240447998	0.3422548770904541	6.959409236907959	1.0	0.0	0.0	0.0	Cube
Cube.001	1.6594820022583008	5.678864479064941	-0.6281522512435913	10.62260627746582	0.20661526918411255	6.60776948928833	1.0	0.0	0.0	0.0	Cube
Cube.002	-3.2423133850097656	0.6239128112792969	-0.6281521320343018	10.198492050170898	0.2258799821138382	5.868415832519531	1.0	0.0	0.0	0.0	Cube
Cube.003	4.337319374084473	3.242894172668457	-0.629995584487915	5.026362895965576	4.912775039672852	5.8412346839904785	1.0	0.0	0.0	0.0	Cube
Cube.004	-0.5854859948158264	0.6546649932861328	2.185764789581299	9.895162582397461	0.19694852828979492	5.3761725425720215	1.0	0.0	0.0	0.0	Cube
Cube.005	2.9346423149108887	-1.8280439376831055	1.7972694635391235	3.97733736038208	0.01783572882413864	1.5676629543304443	1.0	0.0	0.0	0.0	Cube
Cube.006	2.9532859325408936	-1.859156608581543	-2.1523895263671875	3.977337598800659	0.01783572882413864	1.5676630735397339	1.0	0.0	0.0	0.0	Cube
Cube.009	-0.6258635520935059	0.5678315162658691	-3.40897274017334	10.0226411819458	0.22972074151039124	5.376172065734863	1.0	0.0	0.0	0.0	Cube
Cube.010	0.19766205549240112	-0.5797576904296875	-4.3491315841674805	7.517594814300537	0.02146269381046295	1.5676639080047607	1.0	0.0	0.0	0.0	Cube
Cube.012	0.24989372491836548	-2.5112974643707275	2.9731273651123047	3.97733736038208	0.01783572882413864	1.5676629543304443	1.0	0.0	0.0	0.0	Cube
Cube.013	-3.268449544906616	-3.7645018100738525	2.9731273651123047	3.977337598800659	0.01783572882413864	1.5676629543304443	1.0	0.0	0.0	0.0	Cube
Cube.011	-4.127400875091553	0.7305693626403809	0.8002746105194092	3.97733736038208	0.01783572882413864	1.5676629543304443	1.0	0.0	0.0	0.0	Cube
Cube.017	-4.108757019042969	0.6994566917419434	-3.1493844985961914	3.977337598800659	0.01783572882413864	1.5676630735397339	1.0	0.0	0.0	0.0	Cube
Cube.018	2.8174257278442383	3.839646339416504	3.0168519020080566	9.14537239074707	0.7874853014945984	1.5320525169372559	1.0	0.0	0.0	0.0	Cube
Cube.019	-2.9955568313598633	1.338233470916748	2.9731273651123047	3.977337598800659	0.01783572882413864	1.5676629543304443	1.0	0.0	0.0	0.0	Cube
Cube.007	2.088393449783325	-2.4559178352355957	-0.6281524896621704	5.036340713500977	0.181782528758049	5.836090087890625	1.0	0.0	0.0	0.0	Cube
